idx,id,amount,timestamp,player_id,team_id,player,owner
0,17,985,2025-03-22 08:28:04.636634,56,51,Rashid Khan,Vidit
1,18,750,2025-03-22 08:36:12.380807,212,46,Mohammad Shami,Shreyansh
2,19,885,2025-03-22 08:38:20.952952,32,42,Kuldeep Yadav,Adi
3,20,1585,2025-03-22 08:40:42.496676,207,42,Travis Head,Adi
4,21,1410,2025-03-22 08:42:24.649868,31,47,Axar Patel,Munish
5,22,250,2025-03-22 08:43:08.298133,124,44,Mohsin Khan,Vikhyat
6,23,570,2025-03-22 08:45:38.635841,151,45,Josh Inglis,Kaushik
7,24,670,2025-03-22 08:48:29.067049,55,51,Rahul Tewatia,Vidit
8,25,380,2025-03-22 08:49:42.783474,187,44,Josh Hazlewood,Vikhyat
9,26,1055,2025-03-22 08:51:36.100337,106,50,Mitchell Santner,Ayush
10,27,920,2025-03-22 08:53:04.962667,7,47,Ravichandran Ashwin,Munish
11,28,885,2025-03-22 08:54:11.326580,4,51,Shivam Dube,Vidit
12,29,545,2025-03-22 08:55:01.482922,103,44,Deepak Chahar,Vikhyat
13,30,150,2025-03-22 08:56:01.762101,192,43,Suyash Sharma,Sai
14,31,415,2025-03-22 08:56:58.082075,175,46,Nitish Rana,Shreyansh
15,32,920,2025-03-22 08:59:09.781169,143,48,Marcus Stoinis,Dhruv
16,33,410,2025-03-22 09:00:58.783289,194,49,Bhuvneshwar Kumar,Rohan
17,34,385,2025-03-22 09:02:25.165895,201,44,Devdutt Padikkal,Vikhyat
18,35,1695,2025-03-22 09:04:15.480317,83,46,Sunil Narine,Shreyansh
19,36,475,2025-03-22 09:06:20.688353,196,51,Tim David,Vidit
20,37,945,2025-03-22 09:07:06.474406,184,48,Rajat Patidar,Dhruv
21,38,290,2025-03-22 09:08:27.093914,121,42,Mitchell Marsh,Adi
22,39,860,2025-03-22 09:09:51.484339,144,49,Glenn Maxwell,Rohan
23,40,105,2025-03-22 09:10:34.431789,191,51,Rasikh Dar,Vidit
24,41,440,2025-03-22 09:12:06.275648,163,47,Nehal Wadhera,Munish
25,42,625,2025-03-22 09:13:34.479183,141,43,Yuzvendra Chahal,Sai
26,43,300,2025-03-22 09:14:35.254842,102,49,Ryan Rickelton,Rohan
27,44,195,2025-03-22 09:15:38.157562,2,50,MS Dhoni,Ayush
28,45,1235,2025-03-22 09:17:52.703917,114,51,Suryakumar Yadav,Vidit
29,46,665,2025-03-22 09:19:53.319320,73,48,Ajinkya Rahane,Dhruv
30,47,1410,2025-03-22 09:20:56.968915,1,50,Ruturaj Gaikwad,Ayush
31,48,785,2025-03-22 09:22:05.014641,50,45,B. Sai Sudharshan,Kaushik
32,49,750,2025-03-22 09:24:18.113408,3,44,Ravindra Jadeja,Vikhyat
33,50,385,2025-03-22 09:26:32.535701,70,45,Glenn Phillips,Kaushik
34,51,540,2025-03-22 09:27:30.558026,145,48,Shashank Singh,Dhruv
35,52,100,2025-03-22 09:27:55.015955,12,44,Vijay Shankar,Vikhyat
36,53,410,2025-03-22 09:29:10.929846,168,47,Shimron Hetmyer,Munish
37,54,540,2025-03-22 09:30:50.149314,52,49,Kagiso Rabada,Rohan
38,55,1130,2025-03-22 09:32:37.729504,98,47,Trent Boult,Munish
39,56,185,2025-03-22 09:33:32.396959,85,46,Vaibhav Arora,Shreyansh
40,57,295,2025-03-22 09:34:47.255782,76,45,Rahmanullah Gurbaz,Kaushik
41,58,105,2025-03-22 09:35:27.313984,36,43,Ashutosh Sharma,Sai
42,59,335,2025-03-22 09:36:29.326394,153,45,Azmatullah Omarzai,Kaushik
43,60,100,2025-03-22 09:36:47.770314,126,42,Abdul Samad,Adi
44,61,670,2025-03-22 09:39:25.054207,142,43,Arshdeep Singh,Sai
45,62,360,2025-03-22 09:40:19.643823,150,49,Marco Jansen,Rohan
46,63,100,2025-03-22 09:40:56.664307,107,44,Reece Topley,Vikhyat
47,64,300,2025-03-22 09:42:35.358550,8,42,Devon Conway,Adi
48,65,100,2025-03-22 09:43:01.720278,132,45,Shahbaz Ahmed,Kaushik
49,66,155,2025-03-22 09:44:04.442189,186,43,Yash Dayal,Sai
50,67,490,2025-03-22 09:46:20.722410,78,50,Venkatesh Iyer,Ayush
51,68,665,2025-03-22 09:47:11.919746,211,45,Ishan Kishan,Kaushik
52,69,100,2025-03-22 09:48:07.719426,62,44,Washington Sundar,Vikhyat
53,70,300,2025-03-22 09:49:17.166980,118,48,David Miller,Dhruv
54,71,255,2025-03-22 09:49:59.771253,193,43,Krunal Pandya,Sai
55,72,820,2025-03-22 09:52:01.911720,96,44,Rohit Sharma,Vikhyat
56,73,700,2025-03-22 09:53:01.406415,164,48,Sanju Samson,Dhruv
57,74,350,2025-03-22 09:54:09.519858,10,45,Rachin Ravindra,Kaushik
58,75,205,2025-03-22 09:55:16.188535,79,47,Ramandeep Singh,Munish
59,76,100,2025-03-22 09:55:45.933328,217,45,Abhinav Manohar,Kaushik
60,77,1045,2025-03-22 09:58:59.394798,48,46,Shubman Gill,Shreyansh
61,78,210,2025-03-22 10:00:10.695542,75,49,Quinton de Kock,Rohan
62,79,590,2025-03-22 10:01:05.221795,166,50,Riyan Parag,Ayush
63,80,100,2025-03-22 10:01:34.018735,77,42,Angkrish Raghuvanshi,Adi
64,81,400,2025-03-22 10:02:41.390857,74,43,Rinku Singh,Sai
65,82,550,2025-03-22 10:04:02.017022,27,42,Jake Fraser-McGurk,Adi
66,83,100,2025-03-22 10:04:39.153079,122,51,Avesh Khan,Vidit
67,84,105,2025-03-22 10:05:23.513655,9,46,Syed Khaleel Ahmed,Shreyansh
68,85,350,2025-03-22 10:06:27.121942,30,43,Tristian Stubbs,Sai
69,86,250,2025-03-22 10:08:10.931304,6,49,Noor Ahmad,Rohan
70,87,430,2025-03-22 10:10:00.528141,206,50,Pat Cummins,Ayush
71,88,210,2025-03-22 10:11:15.835683,11,51,Rahul Tripathi,Vidit
72,89,210,2025-03-22 10:12:52.328255,104,51,Will Jacks,Vidit
73,90,1055,2025-03-22 10:14:53.443982,84,43,Varun Chakaravarthy,Sai
74,91,400,2025-03-22 10:16:17.371793,210,50,Nitish Reddy,Ayush
75,92,100,2025-03-22 10:16:49.121267,63,46,Gerald Coetzee,Shreyansh
76,93,425,2025-03-22 10:18:52.219922,120,43,Nicholas Pooran,Sai
77,94,210,2025-03-22 10:20:30.249316,51,50,Shahrukh Khan,Ayush
78,95,440,2025-03-22 10:22:02.647667,26,45,KL Rahul,Kaushik
79,96,885,2025-03-22 10:23:46.931162,208,49,Abhishek Sharma,Rohan
80,97,445,2025-03-22 10:25:51.172685,49,44,Jos Buttler,Vikhyat
81,98,100,2025-03-22 10:26:36.712826,53,47,Mohammed Siraj,Munish
82,99,100,2025-03-22 10:27:46.531737,167,48,Dhruv Jurel,Dhruv
83,100,100,2025-03-22 10:28:09.238980,37,50,Mohit Sharma,Ayush
84,101,100,2025-03-22 10:28:48.051110,170,46,Jofra Archer,Shreyansh
85,102,770,2025-03-22 10:29:45.183389,185,43,Virat Kohli,Sai
86,103,160,2025-03-22 10:30:45.106468,146,47,Prabhsimran Singh,Munish
87,104,100,2025-03-22 10:31:02.850096,214,51,Rahul Chahar,Vidit
88,105,100,2025-03-22 10:31:37.466430,29,46,Abhishek Porel,Shreyansh
89,106,745,2025-03-22 10:35:03.293178,165,48,Yashasvi Jaiswal,Dhruv
90,107,380,2025-03-22 10:37:45.825669,97,49,Tilak Verma,Rohan
91,108,355,2025-03-22 10:40:39.295258,80,46,Andre Russell,Shreyansh
92,109,100,2025-03-22 10:41:13.416298,213,50,Harshal Patel,Ayush
93,110,830,2025-03-22 10:42:37.051326,95,44,Jasprit Bumrah,Vikhyat
94,111,100,2025-03-22 10:43:25.618505,171,49,Wainindu Hasaranga,Rohan
95,112,100,2025-03-22 10:44:39.566309,34,47,Mitchell Starc,Munish
96,113,270,2025-03-22 10:45:24.556954,140,42,Shreyas Iyer,Adi
97,114,100,2025-03-22 10:45:52.874862,125,42,Ravi Bisnoi,Adi
98,115,550,2025-03-22 10:46:12.859831,188,45,Phil Salt,Kaushik
99,116,300,2025-03-22 10:47:34.923983,38,42,Faf du Plessis,Adi
